StockCode,ProductName,UniqueCustomers,TotalQuantity,TotalRevenue,AvgPrice
22423,REGENCY CAKESTAND 3 TIER,267,2659.0,30460.65000000004,12.320224719101105
85123A,WHITE HANGING HEART T-LIGHT HOLDER,330,7461.0,20025.55000000005,2.857942973523437
85099B,JUMBO BAG RED RETROSPOT,190,7652.0,13352.999999999998,1.8986055776892354
79321,CHILLI LIGHTS,74,2980.0,13078.95999999999,4.826066666666668
POST,POSTAGE,123,624.0,12705.0,20.82233502538071
84879,ASSORTED COLOUR BIRD ORNAMENT,177,5601.0,9031.770000000028,1.6788135593220317
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,244,1711.0,7969.650000000004,4.902272727272753
22960,JAM MAKING SET WITH JARS,191,1830.0,7264.5,4.13646288209607
22469,HEART OF WICKER SMALL,250,4248.0,6792.160000000016,1.6288679245282927
47566,PARTY BUNTING,109,1432.0,6090.200000000001,4.684883720930229
22629,SPACEBOY LUNCH BOX ,101,3464.0,6084.000000000001,1.910139860139856
20685,DOORMAT RED RETROSPOT,121,799.0,5701.649999999995,7.671290322580663
84997B,RED 3 PIECE RETROSPOT CUTLERY SET,80,1549.0,5580.029999999999,3.8011999999999966
22961,JAM MAKING SET PRINTED,217,3984.0,5546.400000000002,1.442913385826765
21621,VINTAGE UNION JACK BUNTING,91,647.0,5393.45,8.480188679245282
22722,SET OF 6 SPICE TINS PANTRY DESIGN,160,1455.0,5375.250000000003,3.906097560975621
22470,HEART OF WICKER LARGE,211,1833.0,5238.549999999996,2.9335205992509454
22112,CHOCOLATE HOT WATER BOTTLE,126,1121.0,5196.149999999997,4.882121212121223
22111,SCOTTIE DOG HOT WATER BOTTLE,146,1099.0,5169.1500000000015,4.9108938547486165
20725,LUNCH BAG RED SPOTTY,158,3270.0,5103.500000000001,1.6357142857142843
